City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,el granada,37.5027,-122.4694,33.05,58,0,2.06,US,1697662875
1,invercargill,-46.4,168.35,12.23,84,100,7.15,NZ,1697662879
2,arraial do cabo,-22.9661,-42.0278,23.98,83,75,5.66,BR,1697662880
3,waitangi,-43.9535,-176.5597,13.23,80,100,4.47,NZ,1697662880
4,ribeira grande,38.5167,-28.7,22.22,94,75,10.8,PT,1697662880
5,east london,-33.0153,27.9116,19.27,84,95,6.43,ZA,1697662880
6,puerto natales,-51.7236,-72.4875,15.25,47,75,7.2,CL,1697662880
7,saint-denis,48.9167,2.3333,17.45,84,75,8.75,FR,1697662880
8,papatowai,-46.5619,169.4708,12.01,64,100,4.4,NZ,1697662881
9,naze,28.3667,129.4833,16.51,60,0,0.47,JP,1697662881
10,tutoia,-2.7619,-42.2744,26.63,81,100,5.51,BR,1697662881
11,mogocha,53.7333,119.7667,-3.67,77,45,1.78,RU,1697662881
12,cruz del eje,-30.7264,-64.8039,15.06,41,100,5.25,AR,1697662881
13,dudinka,69.4058,86.1778,3.68,98,100,2.68,RU,1697662881
14,san patricio,28.017,-97.5169,29.4,39,2,5.77,US,1697662881
15,vorgashor,67.5833,63.95,0.4,83,48,6.25,RU,1697662882
16,lebu,-37.6167,-73.65,13.72,70,5,6.35,CL,1697662882
17,killingly center,41.8387,-71.8692,16.03,79,98,0.82,US,1697662882
18,oranjemund,-28.55,16.4333,16.81,84,0,1.53,NA,1697662882
19,st. john's,47.5649,-52.7093,8.42,78,75,4.63,CA,1697662677
20,grytviken,-54.2811,-36.5092,3.2,91,100,4.22,GS,1697662882
21,thompson,55.7435,-97.8558,9.09,53,40,3.09,CA,1697662882
22,hamina,60.5697,27.1979,0.74,80,100,4.75,FI,1697662757
23,bethel,41.3712,-73.414,16.37,73,100,0.04,US,1697662808
24,minas de marcona,-15.2119,-75.1103,18.36,71,37,6.22,PE,1697662883
25,wailua homesteads,22.0669,-159.378,27.44,68,40,4.12,US,1697662883
26,port-aux-francais,-49.35,70.2167,3.02,96,100,8.47,TF,1697662883
